time_in_range,time_below_range,time_above_range,mean_glucose,min_glucose,max_glucose,avg_basal,avg_bolus,hypoglycemia_events,hyperglycemia_events,reward_basal_episode,reward_bolus_episode,reward_basal_sum,reward_bolus_sum,episode,steps,using_mock_env,basal_actor_loss_mean,bolus_actor_loss_mean,basal_critic_loss_mean,bolus_critic_loss_mean,planner_intervention_steps,planner_intervention_rate,planner_hard_safety_steps,planner_predicted_low_steps,patient_name,episode_seed
0.5659722222222222,0.11284722222222222,0.3211805555555556,164.34573364257812,49.35820007324219,288.2502136230469,0.003366987220942974,0.03276824206113815,2.0,4.0,1199.325467116027,-1057.3084532719972,1199.325467116027,-1057.308453271997,1.0,576.0,0.0,-3.881478556413162,1.2462335848902872,3.571652093250927,1.4989819128423065,273.0,0.4739583333333333,78.0,78.0,adult#009,7.0
0.9340277777777778,0.050347222222222224,0.015625,119.92928314208984,55.68585968017578,201.694091796875,0.04266782104969025,0.0015684139216318727,4.0,1.0,1999.4121065105412,273.40345169309387,1999.4121065105414,273.40345169309387,2.0,576.0,0.0,-6.828970033261511,4.367138976852099,2.1275903085867562,1.4096675945652857,575.0,0.9982638888888888,148.0,144.0,adult#005,8.0
0.6513409961685823,0.15708812260536398,0.19157088122605365,141.07211303710938,39.0,324.7593994140625,0.00365517009049654,0.01948193646967411,3.0,4.0,606.6086842548194,-1047.3612900682422,606.6086842548197,-1047.361290068242,3.0,522.0,0.0,-12.502258209433135,7.8098593790412405,2.0025440796182075,1.5153080509882777,253.0,0.4846743295019157,115.0,112.0,adolescent#009,9.0
0.4270833333333333,0.1875,0.3854166666666667,158.6693572998047,39.0,397.77264404296875,0.0021655336022377014,0.038584038615226746,5.0,3.0,27.310060511917193,-2174.8718333878564,27.310060511917072,-2174.871833387857,4.0,576.0,0.0,-16.321321199337643,14.567567555440796,6.118217398671226,5.661981152370572,423.0,0.734375,147.0,146.0,adult#006,10.0
0.7138263665594855,0.08038585209003216,0.2057877813504823,140.76846313476562,39.0,273.5836181640625,0.0038281038869172335,0.021000120788812637,1.0,2.0,594.3061699754113,-415.1434852142862,594.3061699754113,-415.14348521428633,5.0,311.0,0.0,-17.240479300643088,21.713583731574644,12.138621043162331,10.998584470373258,167.0,0.5369774919614148,62.0,57.0,adolescent#003,11.0
0.5243055555555556,0.1579861111111111,0.3177083333333333,151.7464599609375,39.0,355.1659851074219,0.00485013285651803,0.031870272010564804,2.0,5.0,302.75918305695535,-1700.0584987972268,302.7591830569555,-1700.0584987972265,6.0,576.0,0.0,-19.647831064959366,27.587879253758324,23.33849617280066,23.833037074655294,349.0,0.6059027777777778,126.0,123.0,adult#003,12.0
0.8402777777777778,0.0,0.1597222222222222,148.65615844726562,74.08377838134766,215.80599975585938,0.007129619363695383,0.016052542254328728,0.0,5.0,2022.5935134380388,85.88646185015045,2022.5935134380388,85.88646185015043,7.0,576.0,0.0,-22.697830071051914,34.98350543446011,31.563461596353186,30.515320285326904,206.0,0.3576388888888889,26.0,19.0,adult#008,13.0
0.647410358565737,0.11354581673306773,0.23904382470119523,149.51837158203125,39.0,307.9356994628906,0.005329244304448366,0.02398674376308918,1.0,3.0,515.3436590475163,-1153.8749593662967,515.3436590475166,-1153.8749593662965,8.0,502.0,0.0,-28.375443851805304,38.55554119049315,55.373140172179475,32.752957963848495,282.0,0.5617529880478087,87.0,84.0,adolescent#004,14.0
0.5677083333333334,0.10590277777777778,0.3263888888888889,155.140380859375,39.0,235.46286010742188,0.006371369585394859,0.032964568585157394,3.0,3.0,1287.1783614218132,-952.8011927096179,1287.1783614218134,-952.8011927096179,9.0,576.0,0.0,-30.92097604771455,43.64529714319441,68.20926961633894,50.48548195138574,303.0,0.5260416666666666,79.0,79.0,adult#009,15.0
0.6215277777777778,0.078125,0.3003472222222222,151.40557861328125,48.634681701660156,278.8647155761719,0.0007834416464902461,0.03023163415491581,1.0,3.0,1493.7825266095376,-687.256680576778,1493.7825266095379,-687.2566805767779,10.0,576.0,0.0,-34.5395702338881,47.75908497307036,91.63092778788672,51.78766270644135,290.0,0.5034722222222222,63.0,63.0,adult#001,16.0
0.7204861111111112,0.0,0.2795138888888889,161.52145385742188,91.2464370727539,250.31655883789062,0.00387453380972147,0.028721259906888008,0.0,6.0,1973.728154501403,-270.9397078478631,1973.728154501403,-270.939707847863,11.0,576.0,0.0,-39.172365847561096,50.94752348131604,118.97493781314955,57.73067292984989,236.0,0.4097222222222222,0.0,0.0,adult#005,17.0
0.7829861111111112,0.0,0.2170138888888889,157.23838806152344,72.74856567382812,236.33523559570312,0.000576385238673538,0.022585608065128326,0.0,6.0,1972.9925371193438,-101.9942543605861,1972.992537119344,-101.99425436058607,12.0,576.0,0.0,-46.60152648886045,52.2591027352545,127.59277679026127,48.19327315936486,184.0,0.3194444444444444,32.0,30.0,adult#008,18.0
