time_in_range,time_below_range,time_above_range,mean_glucose,min_glucose,max_glucose,avg_basal,avg_bolus,hypoglycemia_events,hyperglycemia_events,reward_basal_episode,reward_bolus_episode,reward_basal_sum,reward_bolus_sum,episode,steps,using_mock_env,basal_actor_loss_mean,bolus_actor_loss_mean,basal_critic_loss_mean,bolus_critic_loss_mean,planner_intervention_steps,planner_intervention_rate,planner_hard_safety_steps,planner_predicted_low_steps,basal_updates,bolus_updates,basal_replay_size,bolus_replay_size,patient_name,episode_seed,phase,scenario,planner_enabled,train_basal,train_bolus
0.6928571428571428,0.0,0.30714285714285716,171.3096466064453,142.49002075195312,211.65476989746094,0.0038124327547848225,0.0,0.0,1.0,271.0858853952122,47.90372766690621,271.0858853952122,47.90372766690621,1.0,140.0,0.0,-0.8990097091748164,0.0,7.987197380799514,0.0,0.0,0.0,0.0,0.0,13.0,0.0,140.0,0.0,adult#010,7.0,basal_pretrain,A,0.0,1.0,0.0
0.5841584158415841,0.4158415841584158,0.0,93.80921936035156,39.0,157.57635498046875,0.13509106636047363,0.0,1.0,0.0,-983.2220632204572,-496.47638493930486,-983.2220632204572,-496.4763849393047,2.0,101.0,0.0,-2.54891565884694,0.0,46.26740186993438,0.0,0.0,0.0,0.0,0.0,101.0,0.0,241.0,0.0,adult#008,8.0,basal_pretrain,A,0.0,1.0,0.0
0.9785714285714285,0.0,0.02142857142857143,152.7311553955078,125.80690002441406,182.82223510742188,0.014939190819859505,0.0,0.0,1.0,373.51442810601753,109.18007578597587,373.5144281060176,109.18007578597589,3.0,140.0,0.0,-2.74371014471565,0.0,102.57175969736916,0.0,0.0,0.0,0.0,0.0,140.0,0.0,381.0,0.0,adult#005,9.0,basal_pretrain,A,0.0,1.0,0.0
0.6140350877192983,0.38596491228070173,0.0,94.8830795288086,39.0,165.80941772460938,0.5461830496788025,0.0,1.0,0.0,-498.44956025995094,-246.3257137831481,-498.44956025995094,-246.3257137831481,4.0,57.0,0.0,-1.9913604390202908,0.0,11.12268476946312,0.0,0.0,0.0,0.0,0.0,57.0,0.0,438.0,0.0,adult#008,10.0,basal_pretrain,A,0.0,1.0,0.0
0.39361702127659576,0.6063829787234043,0.0,69.68736267089844,39.0,151.737548828125,0.49683135747909546,0.0,1.0,0.0,-1770.5490512893825,-777.8969235797178,-1770.5490512893825,-777.8969235797178,5.0,94.0,0.0,0.2690987880242632,0.0,10.070452620374395,0.0,0.0,0.0,0.0,0.0,94.0,0.0,532.0,0.0,adult#002,11.0,basal_pretrain,A,0.0,1.0,0.0
0.35294117647058826,0.6470588235294118,0.0,66.3686752319336,39.0,136.6304168701172,0.08255605399608612,0.0,1.0,0.0,-2720.240022548074,-1182.8109156571797,-2720.240022548074,-1182.81091565718,6.0,136.0,0.0,5.950539910179727,0.0,15.19818669908187,0.0,0.0,0.0,0.0,0.0,136.0,0.0,668.0,0.0,adult#007,12.0,basal_pretrain,A,0.0,1.0,0.0
0.8,0.2,0.0,109.6837158203125,39.0,172.91920471191406,0.08287128806114197,0.0,1.0,0.0,84.67884248997959,-211.2263116827442,84.67884248997964,-211.2263116827442,7.0,140.0,0.0,11.095573602403913,0.0,21.0908881681306,0.0,0.0,0.0,0.0,0.0,140.0,0.0,808.0,0.0,adult#009,13.0,basal_pretrain,A,0.0,1.0,0.0
0.7642857142857142,0.0,0.2357142857142857,159.25912475585938,123.50566101074219,200.71429443359375,0.0073884655721485615,0.0,0.0,1.0,298.3437377014466,81.53304870695774,298.34373770144657,81.53304870695774,8.0,140.0,0.0,11.499332359007427,0.0,29.687357895714896,0.0,0.0,0.0,0.0,0.0,140.0,0.0,948.0,0.0,adult#002,14.0,basal_pretrain,A,0.0,1.0,0.0
1.0,0.0,0.0,140.8205108642578,112.73356628417969,158.89764404296875,0.023768112063407898,0.0,0.0,0.0,468.71157344506724,131.15181663587285,468.7115734450673,131.15181663587282,9.0,140.0,0.0,9.965231261934553,0.0,42.363946189199176,0.0,0.0,0.0,0.0,0.0,140.0,0.0,1088.0,0.0,adult#010,15.0,basal_pretrain,A,0.0,1.0,0.0
0.5071428571428571,0.0,0.4928571428571429,194.6201934814453,121.68724822998047,320.4446105957031,0.00487988768145442,0.0,0.0,1.0,80.08996768725684,-101.19586181236664,80.08996768725686,-101.19586181236667,10.0,140.0,0.0,8.243735563755035,0.0,43.93874633312225,0.0,0.0,0.0,0.0,0.0,140.0,0.0,1228.0,0.0,adult#006,16.0,basal_pretrain,A,0.0,1.0,0.0
0.7026548672566372,0.047787610619469026,0.24955752212389382,155.67832946777344,39.0,221.83706665039062,0.042001787573099136,0.002317371778190136,1.0,7.0,300.35837526028365,-155.59280991953602,300.35837526028354,-165.74703797781137,11.0,565.0,0.0,0.0,-1.5016033448040758,0.0,0.8071429960633794,0.0,0.0,0.0,37.0,0.0,438.0,1228.0,565.0,adult#008,17.0,bolus_train,B,0.0,0.0,1.0
0.3194444444444444,0.029513888888888888,0.6510416666666666,195.38619995117188,50.40562057495117,293.2154846191406,0.03748693689703941,0.004470539279282093,1.0,3.0,214.21111335755924,-677.7448277346771,214.21111335755927,-687.9125141829307,12.0,576.0,0.0,0.0,1.3902998115841507,0.0,1.0190471246735089,0.0,0.0,0.0,31.0,0.0,576.0,1228.0,1141.0,adult#009,18.0,bolus_train,B,0.0,0.0,1.0
0.2204861111111111,0.0,0.7795138888888888,293.0450744628906,124.17149353027344,455.9813537597656,0.024613283574581146,0.0037699576932936907,0.0,3.0,-1861.5221466852502,-2982.19983347883,-1861.5221466852504,-2980.3208893375063,13.0,576.0,0.0,0.0,8.448913673559824,0.0,1.5560667347680364,0.0,0.0,0.0,1.0,0.0,576.0,1228.0,1717.0,adult#006,19.0,bolus_train,B,0.0,0.0,1.0
0.34375,0.005208333333333333,0.6510416666666666,214.3391571044922,65.9134521484375,348.5688781738281,0.03900667652487755,0.0017049466259777546,1.0,1.0,-48.199269143182896,-1030.2017410089506,-48.1992691431829,-1028.364859248527,14.0,576.0,0.0,0.0,19.967829030421044,0.0,2.594501161844366,0.0,0.0,0.0,20.0,0.0,576.0,1228.0,2293.0,adult#009,20.0,bolus_train,B,0.0,0.0,1.0
0.6736111111111112,0.11284722222222222,0.21354166666666666,133.80157470703125,49.52900314331055,247.07191467285156,0.02297842688858509,0.0005223474581725895,4.0,2.0,820.0635635714644,-285.4459224806802,820.0635635714643,-295.7100288130896,15.0,576.0,0.0,0.0,26.75270042816798,0.0,3.9060557514636054,0.0,0.0,0.0,210.0,0.0,576.0,1228.0,2869.0,adult#004,21.0,bolus_train,B,0.0,0.0,1.0
0.6349206349206349,0.05291005291005291,0.31216931216931215,159.1573028564453,39.0,238.64247131347656,0.043172065168619156,0.0007590035675093532,2.0,4.0,107.01453762490604,-319.12818312582044,107.0145376249061,-323.3822472491105,16.0,567.0,0.0,0.0,30.972273925835072,0.0,4.187062301438111,0.0,0.0,0.0,49.0,0.0,567.0,1228.0,3436.0,adult#008,22.0,bolus_train,B,0.0,0.0,1.0
0.4861111111111111,0.015625,0.4982638888888889,196.66009521484375,64.59993743896484,342.2866516113281,0.03605524078011513,0.0007061085198074579,1.0,4.0,230.93840453407685,-685.1399764665297,230.93840453407694,-689.4030429985629,17.0,576.0,0.0,0.0,35.736075811915924,0.0,6.791413197500838,0.0,0.0,0.0,41.0,0.0,576.0,1228.0,4012.0,adult#001,23.0,bolus_train,B,0.0,0.0,1.0
