time_in_range,time_below_range,time_above_range,mean_glucose,min_glucose,max_glucose,avg_basal,avg_bolus,hypoglycemia_events,hyperglycemia_events,reward_basal_episode,reward_bolus_episode,reward_basal_sum,reward_bolus_sum,episode,steps,using_mock_env,basal_actor_loss_mean,bolus_actor_loss_mean
0.6153846153846154,0.38461538461538464,0.0,101.21929168701172,39.0,163.99713134765625,0.4338461756706238,0.438265860080719,1.0,0.0,181.94885082800513,-48.92967873175028,181.94885082800513,-48.929678731750286,1.0,52.0,0.0,0.0,0.0
0.6037735849056604,0.39622641509433965,0.0,97.55409240722656,39.0,163.9971160888672,0.43528303503990173,0.5071173906326294,1.0,0.0,185.59757209870526,-47.89477723489992,185.59757209870526,-47.89477723489992,2.0,53.0,0.0,0.0,0.0
0.6226415094339622,0.37735849056603776,0.0,101.40826416015625,39.0,163.99713134765625,0.43358492851257324,0.38419389724731445,1.0,0.0,184.300129557305,-48.8579152820081,184.300129557305,-48.85791528200809,3.0,53.0,0.0,0.0,0.0
0.6111111111111112,0.3888888888888889,0.0,100.48307037353516,39.0,163.99713134765625,0.4350000321865082,0.32724854350090027,1.0,0.0,187.300129557305,-49.59414538636964,187.300129557305,-49.59414538636963,4.0,54.0,0.0,0.0,0.0
0.5961538461538461,0.40384615384615385,0.0,98.58854675292969,39.0,163.99713134765625,0.4338461756706238,0.39817893505096436,1.0,0.0,181.94885082800513,-49.987883791634104,181.9488508280051,-49.987883791634104,5.0,52.0,0.0,0.0,0.0
0.6363636363636364,0.36363636363636365,0.0,102.54467010498047,39.0,163.99713134765625,0.4412727653980255,0.4290984272956848,1.0,0.0,191.59757209870526,-48.37827632257412,191.59757209870526,-48.378276322574116,6.0,55.0,0.0,0.0,0.0
0.6222222222222222,0.37777777777777777,0.0,97.57289123535156,39.0,163.9971160888672,0.4440000355243683,0.5688802003860474,1.0,0.0,157.05652320380435,-41.68383737829479,157.05652320380435,-41.6838373782948,7.0,45.0,0.0,0.0,0.0
0.5932203389830508,0.4067796610169492,0.0,98.19927215576172,39.0,163.99713134765625,0.4352542757987976,0.31840863823890686,1.0,0.0,204.24629336940538,-51.264017620229,204.24629336940538,-51.264017620229005,8.0,59.0,0.0,0.0,0.0
0.625,0.375,0.0,97.93241119384766,39.0,163.9971160888672,0.44062504172325134,0.5726291537284851,1.0,0.0,168.00268701590474,-40.472772853536746,168.00268701590477,-40.47277285353674,9.0,48.0,0.0,0.0,0.0
0.5849056603773585,0.41509433962264153,0.0,96.7734375,39.0,163.9971160888672,0.43528303503990173,0.4620751738548279,1.0,0.0,184.94885082800513,-52.72902690549024,184.94885082800513,-52.72902690549024,10.0,53.0,0.0,0.0,0.0
0.6724137931034483,0.3275862068965517,0.0,101.13273620605469,39.0,163.99713134765625,0.44172415137290955,0.41970497369766235,1.0,0.0,203.19245718150577,-51.834906893097966,203.19245718150577,-51.834906893097966,11.0,58.0,0.0,0.0,0.0
0.6111111111111112,0.3888888888888889,0.0,101.72933197021484,39.0,163.99713134765625,0.4383333623409271,0.5033609867095947,1.0,0.0,187.94885082800513,-45.25883193206822,187.94885082800513,-45.25883193206822,12.0,54.0,0.0,0.0,0.0
0.6041666666666666,0.3958333333333333,0.0,96.41796875,39.0,163.9971160888672,0.4350000321865082,0.5266452431678772,1.0,0.0,166.7052444745045,-41.22818419541692,166.7052444745045,-41.22818419541693,13.0,48.0,0.0,0.0,0.0
0.6551724137931034,0.3448275862068966,0.0,100.93765258789062,39.0,163.99713134765625,0.43706899881362915,0.3069986402988434,1.0,0.0,202.54373591080565,-48.54549798431886,202.54373591080565,-48.54549798431886,14.0,58.0,0.0,0.0,0.0
0.6363636363636364,0.36363636363636365,0.0,102.87336730957031,39.0,163.99713134765625,0.43800002336502075,0.5559011697769165,1.0,0.0,190.94885082800513,-50.26978371275554,190.94885082800513,-50.26978371275553,15.0,55.0,0.0,0.0,0.0
0.6041666666666666,0.3958333333333333,0.0,97.2116928100586,39.0,163.9971160888672,0.4462500512599945,0.4544699192047119,1.0,0.0,167.35396574520462,-33.1767283521413,167.35396574520462,-33.176728352141296,16.0,48.0,0.0,0.0,0.0
0.5789473684210527,0.42105263157894735,0.0,97.5566635131836,39.0,163.99713134765625,0.4357894957065582,0.3108562231063843,1.0,0.0,197.59757209870526,-55.5181376234865,197.59757209870526,-55.5181376234865,17.0,57.0,0.0,0.0,0.0
0.6037735849056604,0.39622641509433965,0.0,100.95037841796875,39.0,163.99713134765625,0.43358492851257324,0.3831008970737457,1.0,0.0,183.65140828660486,-47.60019114529521,183.65140828660486,-47.60019114529521,18.0,53.0,0.0,0.0,0.0
0.6111111111111112,0.3888888888888889,0.0,100.95440673828125,39.0,163.99713134765625,0.4350000321865082,0.5128907561302185,1.0,0.0,187.94885082800513,-55.43378105873582,187.9488508280051,-55.43378105873581,19.0,54.0,0.0,0.0,0.0
0.6122448979591837,0.3877551020408163,0.0,98.36314392089844,39.0,163.9971160888672,0.4365306496620178,0.6423157453536987,1.0,0.0,171.65140828660486,-41.01972280122861,171.6514082866049,-41.01972280122861,20.0,49.0,0.0,0.0,0.0
